name,symbol,sector,exchange,country
Oil Country Tubular Ltd.,OILCOUNTUB,Oil & Gas - Equipment & Services,NSE,India
Oil India Ltd.,OIL,Oil & Gas Exploration And Production,NSE,India
Olectra Greentech Ltd.,OLECTRA,Electrical - Equipment/components,NSE,India
Om Infra Ltd.,OMINFRAL,Construction & Engineering,NSE,India
Omax Autos Ltd.,OMAXAUTO,Auto Ancillaries,NSE,India
Omaxe Ltd.,OMAXE,Real Estate,NSE,India
Omkar Speciality Chemicals Ltd.,OMKARCHEM,Speciality Chemicals,NSE,India
OnMobile Global Ltd.,ONMOBILE,Software Services,NSE,India
One Point One Solutions Ltd.,ONEPOINT,Outsourced Services,NSE,India
One97 Communications Ltd.,PAYTM,Credit Rating Agencies,NSE,India
Onelife Capital Advisors Ltd.,ONELIFECAP,Investment Banking & Brokerage Services,NSE,India
Onward Technologies Ltd.,ONWARDTEC,It Services & Consulting,NSE,India
Optiemus Infracom Ltd.,OPTIEMUS,Telecomm Equipment & Infra Services,NSE,India
Opto Circuits India Ltd.,OPTOCIRCUI,Health Services And Equipment,NSE,India
Oracle Financial Services Software Ltd.,OFSS,Software Services,NSE,India
Orbit Exports Ltd.,ORBTEXP,Textiles,NSE,India
Orchid Pharma Ltd.,ORCHPHARMA,Pharmaceuticals,NSE,India
Oricon Enterprises Ltd.,ORICONENT,Diversified,NSE,India
Orient Bell Ltd.,ORIENTBELL,Construction Supplies & Fixtures,NSE,India
Orient Cement Ltd.,ORIENTCEM,Cement,NSE,India
Orient Ceratech Ltd.,ORIENTCER,"Industrial Machinery, Equipment & Goods",NSE,India
Orient Electric Ltd.,ORIENTELEC,Consumer Electronics & Appliances,NSE,India
Orient Green Power Company Ltd.,GREENPOWER,Power - Generation/distribution,NSE,India
Orient Paper & Industries Ltd.,ORIENTPPR,Paper Products,NSE,India
Orient Press Ltd.,ORIENTLTD,Printing & Stationery,NSE,India
Oriental Aromatics Ltd.,OAL,Speciality Chemicals,NSE,India
Oriental Carbon & Chemicals Ltd.,OCCL,Commodity Chemicals,NSE,India
Oriental Hotels Ltd.,ORIENTHOT,Hotels,NSE,India
Oriental Trimex Ltd.,ORIENTALTL,Construction Supplies & Fixtures,NSE,India
Orissa Bengal Carrier Ltd.,OBCL,Logistics,NSE,India
Ortel Communications Ltd.,ORTEL,Broadcasting & Entertainment,NSE,India
Ortin Laboratories Ltd.,ORTINLAB,Pharmaceuticals,NSE,India
Osia Hyper Retail Ltd.,OSIAHYPER,Retailing,NSE,India
Oswal Agro Mills Ltd.,OSWALAGRO,Real Estate,NSE,India
Oswal Green Tech Ltd.,OSWALGREEN,Real Estate,NSE,India
PAE Ltd.,PAEL,Batteries,NSE,India
PB Fintech Ltd.,POLICYBZR,Credit Rating Agencies,NSE,India
PBA Infrastructure Ltd.,PBAINFRA,Construction & Engineering,NSE,India
PC Jeweller Ltd.,PCJEWELLER,"Jewellery, Watches & Other Accessories",NSE,India
PCBL Ltd.,PCBL,Commodity Chemicals,NSE,India
PDS Ltd.,PDSL,Apparels,NSE,India
PG Electroplast Ltd.,PGEL,Electronics - Equipment/components,NSE,India
PI Industries Ltd.,PIIND,Agro Chemicals & Fertilizers,NSE,India
PNB Gilts Ltd.,PNBGILTS,Investment Banking & Brokerage Services,NSE,India
PNB Housing Finance Ltd.,PNBHOUSING,Housing Finance,NSE,India
PNC Infratech Ltd.,PNCINFRA,Construction & Engineering,NSE,India
PPAP Automotive Ltd.,PPAP,Auto Ancillaries,NSE,India
PSP Projects Ltd.,PSPPROJECT,Construction & Engineering,NSE,India
PTC India Financial Services Ltd.,PFS,Finance & Investments,NSE,India
PTC India Ltd.,PTC,Power - Generation/distribution,NSE,India
PTC Industries Ltd.,PTCIL,Construction & Engineering,NSE,India
PTL Enterprises Ltd.,PTL,Tyres & Rubber Products,NSE,India
PVP Ventures Ltd.,PVP,Construction & Engineering,NSE,India
PVR INOX Ltd.,PVRINOX,Broadcasting & Entertainment,NSE,India
Page Industries Ltd.,PAGEIND,Apparels,NSE,India
Paisalo Digital Ltd.,PAISALO,Nbfc,NSE,India
Pakka Ltd.,PAKKA,Paper Products,NSE,India
Palash Securities Ltd.,PALASHSECU,Finance & Investments,NSE,India
Palred Technologies Ltd.,PALREDTEC,It Services & Consulting,NSE,India
Panacea Biotec Ltd.,PANACEABIO,Biotechnology & Medical Research,NSE,India
Panache Digilife Ltd.,PANACHE,Technology Hardware,NSE,India
Panama Petrochem Ltd.,PANAMAPET,Petrochemicals,NSE,India
Pansari Developers Ltd.,PANSARI,Construction & Engineering,NSE,India
Par Drugs & Chemicals Ltd.,PAR,Pharmaceuticals,NSE,India
Paradeep Phosphates Ltd.,PARADEEP,Agro Chemicals & Fertilizers,NSE,India
Parag Milk Foods Ltd.,PARAGMILK,Food Products,NSE,India
Paramount Communications Ltd.,PARACABLES,Electrical - Equipment/components,NSE,India
Paras Defence and Space Technologies Ltd.,PARAS,Construction & Engineering,NSE,India
Paras Petrofils Ltd.,PARASPETRO,Textiles,NSE,India
Parenteral Drugs (India) Ltd.,PDPL,Pharmaceuticals,NSE,India
Parsvnath Developers Ltd.,PARSVNATH,Real Estate,NSE,India
Pasupati Acrylon Ltd.,PASUPTAC,Textiles,NSE,India
Patanjali Foods Ltd.,PATANJALI,Edible Oils & Solvent Extraction,NSE,India
Patel Engineering Ltd.,PATELENG,Construction & Engineering,NSE,India
Patel Integrated Logistics Ltd.,PATINTLOG,Logistics,NSE,India
Patspin India Ltd.,PATSPINLTD,Textiles,NSE,India
Pavna Industries Ltd.,PAVNAIND,Auto Ancillaries,NSE,India
Pearl Global Industries Ltd.,PGIL,Apparels,NSE,India
Pearl Polymers Ltd.,PEARLPOLY,Plastic Products,NSE,India
Peninsula Land Ltd.,PENINLAND,Real Estate,NSE,India
Pennar Industries Ltd.,PENIND,Iron & Steel,NSE,India
Persistent Systems Ltd.,PERSISTENT,It Services & Consulting,NSE,India
Petronet LNG Ltd.,PETRONET,Gas Distribution,NSE,India
Pfizer Ltd.,PFIZER,Pharmaceuticals,NSE,India
Phoenix Mills Ltd.,PHOENIXLTD,Real Estate,NSE,India
Pidilite Industries Ltd.,PIDILITIND,Diversified Chemicals,NSE,India
Pil Italica Lifestyle Ltd.,PILITA,Home Furnishing,NSE,India
Pilani Investment and Industries Corporation Ltd.,PILANIINVS,Finance & Investments,NSE,India
Pioneer Distilleries Ltd.,PIONDIST,Breweries & Distilleries,NSE,India
Pioneer Embroideries Ltd.,PIONEEREMB,Apparels,NSE,India
Piramal Enterprises Ltd.,PEL,Diversified,NSE,India
Piramal Pharma Ltd.,PPLPHARMA,Pharmaceuticals,NSE,India
Pitti Engineering Ltd.,PITTIENG,"Industrial Machinery, Equipment & Goods",NSE,India
Pix Transmissions Ltd.,PIXTRANS,"Industrial Machinery, Equipment & Goods",NSE,India
Plastiblends India Ltd.,PLASTIBLEN,Speciality Chemicals,NSE,India
Plaza Wires Ltd.,PLAZACABLE,Electrical - Equipment/components,NSE,India
Poddar Housing and Development Ltd.,PODDARHOUS,Real Estate,NSE,India
Poddar Pigments Ltd.,PODDARMENT,Speciality Chemicals,NSE,India
Pokarna Ltd.,POKARNA,Construction Supplies & Fixtures,NSE,India
Poly Medicure Ltd.,POLYMED,Health Services And Equipment,NSE,India
Polycab India Ltd.,POLYCAB,Electrical - Equipment/components,NSE,India
Polyplex Corporation Ltd.,POLYPLEX,Commodity Chemicals,NSE,India
Pondy Oxides & Chemicals Ltd.,POCL,Commodity Chemicals,NSE,India
Ponni Sugars (Erode) Ltd.,PONNIERODE,Sugar,NSE,India
Poonawalla Fincorp Ltd.,POONAWALLA,Nbfc,NSE,India
Power Finance Corporation Ltd.,PFC,Nbfc,NSE,India
Power Grid Corporation of India Ltd.,POWERGRID,Power - Generation/distribution,NSE,India
Power Mech Projects Ltd.,POWERMECH,Construction & Engineering,NSE,India
Power and Instrumentation (Gujarat) Ltd.,PIGL,Construction & Engineering,NSE,India
Pradip Overseas Ltd.,PRADIP,Textiles,NSE,India
Praj Industries Ltd.,PRAJIND,Engineering - Heavy,NSE,India
Prajay Engineers Syndicate Ltd.,PRAENG,Real Estate,NSE,India
Prakash Industries Ltd.,PRAKASH,Iron & Steel,NSE,India
Prakash Pipes Ltd.,PPL,Tubes & Pipes,NSE,India
Prakash Steelage Ltd.,PRAKASHSTL,Tubes & Pipes,NSE,India
Prataap Snacks Ltd.,DIAMONDYD,Food Products,NSE,India
Praxis Home Retail Ltd.,PRAXIS,Retailing,NSE,India
Precision Camshafts Ltd.,PRECAM,Auto Ancillaries,NSE,India
Precision Wires India Ltd.,PRECWIRE,Electrical - Equipment/components,NSE,India
Precot Ltd.,PRECOT,Textiles,NSE,India
Premier Explosives Ltd.,PREMEXPLN,Commodity Chemicals,NSE,India
Premier Ltd.,PREMIER,"Industrial Machinery, Equipment & Goods",NSE,India
Premier Polyfilm Ltd.,PREMIERPOL,Plastic Products,NSE,India
Pressman Advertising Ltd.,PRESSMN,Advertising,NSE,India
Prestige Estates Projects Ltd.,PRESTIGE,Real Estate,NSE,India
Pricol Ltd.,PRICOLLTD,Auto Ancillaries,NSE,India
Prime Focus Ltd.,PFOCUS,Entertainment Production,NSE,India
Prime Securities Ltd.,PRIMESECU,Investment Banking & Brokerage Services,NSE,India
Prince Pipes & Fittings Ltd.,PRINCEPIPE,Tubes & Pipes,NSE,India
Prism Johnson Ltd.,PRSMJOHNSN,Cement,NSE,India
Priti International Ltd.,PRITI,Construction & Engineering,NSE,India
Pritika Auto Industries Ltd.,PRITIKAUTO,Auto Ancillaries,NSE,India
Pritish Nandy Communications Ltd.,PNC,Broadcasting & Entertainment,NSE,India
Privi Speciality Chemicals Ltd.,PRIVISCL,Speciality Chemicals,NSE,India
Procter & Gamble Health Ltd.,PGHL,Pharmaceuticals,NSE,India
Procter & Gamble Hygiene & Healthcare Ltd.,PGHH,Personal Products,NSE,India
Prozone Realty Ltd.,PROZONER,Real Estate,NSE,India
Prudent Corporate Advisory Services Ltd.,PRUDENT,Finance & Investments,NSE,India
Pudumjee Paper Products Ltd.,PDMJEPAPER,Paper Products,NSE,India
Punj Lloyd Ltd.,PUNJLLOYD,Construction & Engineering,NSE,India
Punjab & Sind Bank,PSB,Banks,NSE,India
Punjab Chemicals and Crop Protection Ltd.,PUNJABCHEM,Diversified Chemicals,NSE,India
Punjab National Bank,PNB,Banks,NSE,India
Puravankara Ltd.,PURVA,Real Estate,NSE,India
Pyramid Technoplast Ltd.,PYRAMID,Plastic Products,NSE,India
Quess Corp Ltd.,QUESS,Employment Services,NSE,India
Quick Heal Technologies Ltd.,QUICKHEAL,Software Services,NSE,India
Quintegra Solutions Ltd.,QUINTEGRA,Software Services,NSE,India
R R Kabel Ltd.,RRKABEL,Electrical - Equipment/components,NSE,India
R Systems International Ltd.,RSYSTEMS,It Services & Consulting,NSE,India
RBL Bank Ltd.,RBLBANK,Banks,NSE,India
REC Ltd.,RECLTD,Nbfc,NSE,India
RHI Magnesita India Ltd.,RHIM,Refractories,NSE,India
RKEC Projects Ltd.,RKEC,Construction & Engineering,NSE,India
RPG Life Sciences Ltd.,RPGLIFE,Pharmaceuticals,NSE,India
RPP Infra Projects Ltd.,RPPINFRA,Construction & Engineering,NSE,India
RPSG Ventures Ltd.,RPSGVENT,It Services & Consulting,NSE,India
RS Software (India) Ltd.,RSSOFTWARE,Software Services,NSE,India
RSWM Ltd.,RSWM,Textiles,NSE,India
Race Eco Chain Ltd.,RACE,Trading & Distribution,NSE,India
Radaan Mediaworks (I) Ltd.,RADAAN,Broadcasting & Entertainment,NSE,India
Radha Madhav Corporation Ltd.,RMCL,Packaging,NSE,India
Radhika Jeweltech Ltd.,RADHIKAJWE,"Jewellery, Watches & Other Accessories",NSE,India
Radiant Cash Management Services Ltd.,RADIANTCMS,Credit Rating Agencies,NSE,India
Radico Khaitan Ltd.,RADICO,Breweries & Distilleries,NSE,India
Rail Vikas Nigam Ltd.,RVNL,Construction & Engineering,NSE,India
Railtel Corporation of India Ltd.,RAILTEL,Telecommunications - Service,NSE,India
Rain Industries Ltd.,RAIN,Petrochemicals,NSE,India
Rainbow Childrens Medicare Ltd.,RAINBOW,Hospitals & Diagnostic Centres,NSE,India
Raj Oil Mills Ltd.,ROML,Edible Oils & Solvent Extraction,NSE,India
Raj Rayon Industries Ltd.,RAJRILTD,Textiles,NSE,India
Raj Television Network Ltd.,RAJTV,Broadcasting & Entertainment,NSE,India
Rajdarshan Industries Ltd.,ARENTERP,"Industrial Machinery, Equipment & Goods",NSE,India
Rajesh Exports Ltd.,RAJESHEXPO,"Jewellery, Watches & Other Accessories",NSE,India
Rajnandini Metal Ltd.,RAJMET,Trading & Distribution,NSE,India
Rajratan Global Wire Ltd.,RAJRATAN,Iron & Steel,NSE,India
Rajshree Polypack Ltd.,RPPL,Ceramics/tiles/sanitaryware,NSE,India
Rajshree Sugars & Chemicals Ltd.,RAJSREESUG,Sugar,NSE,India
Rajvir Industries Ltd.,RAJVIR,Textiles,NSE,India
Rallis India Ltd.,RALLIS,Agro Chemicals & Fertilizers,NSE,India
Ram Ratna Wires Ltd.,RAMRAT,Electrical - Equipment/components,NSE,India
Rama Phosphates Ltd.,RAMAPHO,Agro Chemicals & Fertilizers,NSE,India
Rama Steel Tubes Ltd.,RAMASTEEL,Tubes & Pipes,NSE,India
Ramco Industries Ltd.,RAMCOIND,Cement,NSE,India
Ramco Systems Ltd.,RAMCOSYS,It Services & Consulting,NSE,India
Ramkrishna Forgings Ltd.,RKFORGE,"Industrial Machinery, Equipment & Goods",NSE,India
Ramky Infrastructure Ltd.,RAMKY,Construction & Engineering,NSE,India
Rana Sugars Ltd.,RANASUG,Sugar,NSE,India
Rane (Madras) Ltd.,RML,Auto Ancillaries,NSE,India
Rane Brake Lining Ltd.,RBL,Auto Ancillaries,NSE,India
Rane Engine Valve Ltd.,RANEENGINE,Auto Ancillaries,NSE,India
Rane Holdings Ltd.,RANEHOLDIN,Finance & Investments,NSE,India
Rashtriya Chemicals & Fertilizers Ltd.,RCF,Agro Chemicals & Fertilizers,NSE,India
RateGain Travel Technologies Ltd.,RATEGAIN,It Services & Consulting,NSE,India
Ratnamani Metals & Tubes Ltd.,RATNAMANI,Iron & Steel,NSE,India
Ratnaveer Precision Engineering Ltd.,RATNAVEER,Iron & Steel,NSE,India
RattanIndia Enterprises Ltd.,RTNINDIA,Power - Generation/distribution,NSE,India
RattanIndia Power Ltd.,RTNPOWER,Power - Generation/distribution,NSE,India
Ravi Kumar Distilleries Ltd.,RKDL,Breweries & Distilleries,NSE,India
Ravinder Heights Ltd.,RVHL,Real Estate,NSE,India
Raymond Ltd.,RAYMOND,Apparels,NSE,India
Redington Ltd.,REDINGTON,Trading & Distribution,NSE,India
Redtape Ltd.,REDTAPE,Footwear,NSE,India
Refex Industries Ltd.,REFEX,Commodity Chemicals,NSE,India
Regency Ceramics Ltd.,REGENCERAM,Construction Supplies & Fixtures,NSE,India
Relaxo Footwears Ltd.,RELAXO,Footwear,NSE,India
Reliance Capital Ltd.,RELCAPITAL,Finance & Investments,NSE,India
Reliance Chemotex Industries Ltd.,RELCHEMQ,Textiles,NSE,India
Reliance Communications Ltd.,RCOM,Telecommunications - Service,NSE,India
Reliance Home Finance Ltd.,RHFL,Housing Finance,NSE,India
Reliance Industrial InfraStructure Ltd.,RIIL,Construction & Engineering,NSE,India
Reliance Industries Ltd.,RELIANCE,Diversified,NSE,India
Reliance Infrastructure Ltd.,RELINFRA,Construction & Engineering,NSE,India
Reliance Naval and Engineering Ltd.,RNAVAL,Shipbuilding & Maintenance,NSE,India
Reliance Power Ltd.,RPOWER,Power - Generation/distribution,NSE,India
Religare Enterprises Ltd.,RELIGARE,Investment Banking & Brokerage Services,NSE,India
Remsons Industries Ltd.,REMSONSIND,Auto Ancillaries,NSE,India
Renaissance Global Ltd.,RGL,"Jewellery, Watches & Other Accessories",NSE,India
Repco Home Finance Ltd.,REPCOHOME,Housing Finance,NSE,India
Repro India Ltd.,REPRO,Printing & Stationery,NSE,India
Responsive Industries Ltd.,RESPONIND,Construction Supplies & Fixtures,NSE,India
Restaurant Brands Asia Ltd.,RBA,Restaurants & Bars,NSE,India
